Material: Kapton , density =  1.420000 g/cm^3
Absorber is made of 4 elements
H 2% z =   1, a = 1.000000
C 69% z =   6, a = 12.000000
N 7% z =   7, a = 14.000000
O 20% z =   8, a = 16.000000
Z =   1, num = 114
  37.20   1.3990e-002   5.9660e-006     1481.0601    59.0209   3.9996e+001  
  39.68   1.3280e-002   5.6250e-006     1664.2400    64.8443   4.4797e+001  
  44.65   1.2090e-002   5.0520e-006     2059.0000    86.2238   5.5092e+001  
  49.61   1.1110e-002   4.5890e-006     2489.2600   106.3367   6.6277e+001  
  54.57   1.0310e-002   4.2070e-006     2956.4399   125.9583   7.8324e+001  
  59.53   9.6250e-003   3.8850e-006     3457.7000   144.8400   9.1202e+001  
  64.49   9.0420e-003   3.6110e-006     3993.0400   164.7200   1.0489e+002  
  69.45   8.5360e-003   3.3740e-006     4561.0400   184.6000   1.1935e+002  
  79.37   7.7020e-003   2.9850e-006     5792.1802   255.6000   1.5052e+002  
  89.29   7.0430e-003   2.6800e-006     7148.2798   320.9200   1.8460e+002  
  99.21   6.5090e-003   2.4330e-006     8623.6602   384.8200   2.2152e+002  
 109.13   6.0660e-003   2.2290e-006    10214.0596   448.7200   2.5986e+002  
 119.05   5.6940e-003   2.0570e-006    11912.3799   511.2000   3.0246e+002  
 128.98   5.3760e-003   1.9110e-006    13718.6201   573.6800   3.4648e+002  
 138.90   5.1010e-003   1.7850e-006    15625.6797   637.5800   3.9192e+002  
 148.82   4.8610e-003   1.6760e-006    17630.7207   700.0600   4.4020e+002  
 158.74   4.6500e-003   1.5790e-006    19732.3203   763.9600   4.9132e+002  
 168.66   4.4620e-003   1.4930e-006    21924.7988   827.8600   5.4244e+002  
 178.58   4.2950e-003   1.4170e-006    24206.7402   893.1800   5.9640e+002  
 198.42   4.0090e-003   1.2850e-006    29020.5391  1128.9000   7.0858e+002  
 223.23   3.7200e-003   1.1530e-006    35488.6406  1461.1801   8.5910e+002  
 248.03   3.4880e-003   1.0460e-006    42421.0781  1767.9000   1.0167e+003  
 272.83   3.2980e-003   9.5780e-007    49785.1992  2060.4199   1.1814e+003  
 297.64   3.1380e-003   8.8380e-007    57548.3398  2344.4199   1.3547e+003  
 322.44   3.0030e-003   8.2070e-007    65683.5234  2621.3198   1.5322e+003  
 347.24   2.8870e-003   7.6630e-007    74165.1797  2892.5400   1.7154e+003  
 372.05   2.7870e-003   7.1890e-007    82969.1797  3159.5000   1.9028e+003  
 396.85   2.7000e-003   6.7720e-007    92074.2188  3422.2000   2.0959e+003  
 446.46   2.5540e-003   6.0710e-007   111097.9609  4372.1802   2.4907e+003  
 496.06   2.4390e-003   5.5060e-007   131112.8594  5227.0200   2.8968e+003  
 545.67   2.3460e-003   5.0400e-007   151940.0000  6023.6396   3.3114e+003  
 595.27   2.2690e-003   4.6490e-007   173240.0000  6776.2402   3.7318e+003  
 644.88   2.2050e-003   4.3160e-007   195960.0000  7496.1802   4.1578e+003  
 694.49   2.1510e-003   4.0280e-007   218680.0000  8189.1396   4.5866e+003  
 793.70   2.0660e-003   3.5580e-007   266960.0000  10617.3398   5.4485e+003  
 892.91   2.0030e-003   3.1890e-007   315240.0000  12721.7793   6.3091e+003  
 992.12   1.9540e-003   2.8910e-007   366360.0000  14623.1602   7.1667e+003  
 1091.33   1.9170e-003   2.6450e-007   417480.0000  16376.8604   8.0145e+003  
 1190.55   1.8870e-003   2.4390e-007   470020.0000  18016.9590   8.8509e+003  
 1289.76   1.8640e-003   2.2640e-007   523980.0000  19560.5000   9.6759e+003  
 1388.97   1.8450e-003   2.1130e-007   577940.0000  21024.5195   1.0487e+004  
 1488.18   1.8300e-003   1.9810e-007   631900.0000  22417.5391   1.1283e+004  
 1587.40   1.8180e-003   1.8650e-007   685860.0000  23749.5000   1.2066e+004  
 1686.61   1.8090e-003   1.7630e-007   741240.0000  25026.0801   1.2834e+004  
 1785.82   1.8010e-003   1.6710e-007   796620.0000  26252.9609   1.3587e+004  
 1984.25   1.7910e-003   1.5140e-007   908800.0000  30662.0586   1.5052e+004  
 2004.09   1.7900e-003   1.5030e-007   917320.0000  30691.8809   1.5166e+004  
Z =   2, num = 112
   0.11   1.8170e+000   4.0860e-003        0.3451     0.0214   2.8769e-002  
   0.12   1.8410e+000   3.7450e-003        0.3720     0.0219   2.9479e-002  
   0.14   1.8570e+000   3.4600e-003        0.3990     0.0225   3.0147e-002  
   0.15   1.8640e+000   3.2190e-003        0.4260     0.0230   3.0771e-002  
   0.16   1.8660e+000   3.0110e-003        0.4530     0.0235   3.1368e-002  
   0.17   1.8620e+000   2.8300e-003        0.4800     0.0239   3.1936e-002  
   0.20   1.8430e+000   2.5290e-003        0.5339     0.0254   3.3029e-002  
   0.22   1.8140e+000   2.2900e-003        0.5879     0.0269   3.4066e-002  
   0.25   1.7770e+000   2.0950e-003        0.6433     0.0283   3.5088e-002  
   0.27   1.7370e+000   1.9320e-003        0.7001     0.0296   3.6068e-002  
   0.30   1.6950e+000   1.7950e-003        0.7583     0.0310   3.7062e-002  
   0.32   1.6520e+000   1.6760e-003        0.8179     0.0324   3.8042e-002  
   0.35   1.6100e+000   1.5740e-003        0.8790     0.0338   3.9022e-002  
   0.37   1.5680e+000   1.4830e-003        0.9415     0.0352   4.0016e-002  
   0.40   1.5280e+000   1.4040e-003        1.0068     0.0366   4.1024e-002  
   0.42   1.4880e+000   1.3320e-003        1.0721     0.0380   4.2032e-002  
   0.45   1.4510e+000   1.2690e-003        1.1403     0.0395   4.3069e-002  
   0.50   1.3800e+000   1.1590e-003        1.2808     0.0447   4.5199e-002  
   0.56   1.2990e+000   1.0470e-003        1.4683     0.0525   4.7968e-002  
   0.62   1.2270e+000   9.5540e-004        1.6657     0.0600   5.0893e-002  
   0.69   1.1630e+000   8.7960e-004        1.8744     0.0674   5.3974e-002  
   0.75   1.1040e+000   8.1560e-004        2.0945     0.0748   5.7212e-002  
   0.81   1.0520e+000   7.6070e-004        2.3260     0.0822   6.0620e-002  
   0.87   1.0040e+000   7.1310e-004        2.5688     0.0897   6.4198e-002  
