Material: UBe , density = 13.500000 g/cm^3
Absorber is made of 2 elements
92U 7% z =  92, a = 241.000000
9Be 93% z =   4, a = 9.000000
Z =   1, num = 114
  37.20   8.7910e-003   3.3220e-006     2403.0000   119.2590   1.9449e+002  
  39.68   8.3720e-003   3.1350e-006     2686.5000   131.3550   2.1690e+002  
  44.65   7.6610e-003   2.8210e-006     3307.5000   167.7645   2.6471e+002  
  49.61   7.0770e-003   2.5660e-006     3982.5000   203.4315   3.1633e+002  
  54.57   6.5890e-003   2.3550e-006     4698.0000   239.1390   3.7167e+002  
  59.53   6.1750e-003   2.1780e-006     5467.5005   275.2515   4.3056e+002  
  64.49   5.8190e-003   2.0260e-006     6291.0000   311.9580   4.9287e+002  
  69.45   5.5090e-003   1.8950e-006     7168.5000   349.3665   5.5852e+002  
  79.37   4.9950e-003   1.6800e-006     9058.5000   465.0885   6.9941e+002  
  89.29   4.5860e-003   1.5100e-006    11124.0000   576.5985   8.5240e+002  
  99.21   4.2520e-003   1.3730e-006    13351.5000   687.2715   1.0168e+003  
 109.13   3.9750e-003   1.2590e-006    15768.0000   798.5115   1.1920e+003  
 119.05   3.7400e-003   1.1640e-006    18319.5000   910.9800   1.3770e+003  
 128.98   3.5400e-003   1.0820e-006    21046.5000  1025.0010   1.5660e+003  
 138.90   3.3660e-003   1.0120e-006    23908.4980  1140.7095   1.7820e+003  
 148.82   3.2130e-003   9.5020e-007    26919.0000  1258.1730   1.9845e+003  
 158.74   3.0790e-003   8.9610e-007    30064.5000  1377.0000   2.2140e+003  
 168.66   2.9590e-003   8.4800e-007    33331.5000  1498.5000   2.4435e+003  
 178.58   2.8520e-003   8.0500e-007    36747.0000  1620.0001   2.6730e+003  
 198.42   2.6690e-003   7.3130e-007    43915.5000  1998.0000   3.1725e+003  
 223.23   2.4840e-003   6.5680e-007    53527.5039  2524.5000   3.8205e+003  
 248.03   2.3340e-003   5.9660e-007    63814.5000  3024.0000   4.5090e+003  
 272.83   2.2110e-003   5.4680e-007    74709.0000  3509.9998   5.2245e+003  
 297.64   2.1080e-003   5.0500e-007    86184.0000  3996.0000   5.9805e+003  
 322.44   2.0210e-003   4.6930e-007    98172.0000  4468.5000   6.7500e+003  
 347.24   1.9460e-003   4.3860e-007   110673.0078  4927.5000   7.5465e+003  
 372.05   1.8810e-003   4.1170e-007   123619.5000  5400.0000   8.3565e+003  
 396.85   1.8240e-003   3.8810e-007   136998.0000  5859.0000   9.1800e+003  
 446.46   1.7300e-003   3.4830e-007   164902.5000  7317.0000   1.0881e+004  
 496.06   1.6560e-003   3.1620e-007   194211.0000  8667.0000   1.2636e+004  
 545.67   1.5950e-003   2.8970e-007   224748.0000  9936.0000   1.4405e+004  
 595.27   1.5460e-003   2.6740e-007   256351.5000  11164.5010   1.6214e+004  
 644.88   1.5040e-003   2.4850e-007   288900.0000  12339.0000   1.8036e+004  
 694.49   1.4700e-003   2.3210e-007   322285.5000  13472.9990   1.9859e+004  
