Material: Nickel , density =  8.912000 g/cm^3
Absorber is made of 1 elements
Nickel 100.00% z =  28, a =  58.0000
Z =   1, num =  79
   0.11   2.5630e-001   6.2310e-004        0.4546     0.0977   1.1113e-001  
   0.12   2.5740e-001   5.8470e-004        0.4907     0.1003   1.1577e-001  
   0.13   2.5770e-001   5.5120e-004        0.5269     0.1029   1.2022e-001  
   0.14   2.5720e-001   5.2160e-004        0.5632     0.1053   1.2459e-001  
   0.15   2.5610e-001   4.9540e-004        0.5999     0.1077   1.2887e-001  
   0.16   2.5450e-001   4.7200e-004        0.6368     0.1100   1.3306e-001  
   0.17   2.5260e-001   4.5090e-004        0.6741     0.1122   1.3724e-001  
   0.18   2.5040e-001   4.3180e-004        0.7118     0.1143   1.4134e-001  
   0.20   2.4540e-001   3.9850e-004        0.7886     0.1188   1.4945e-001  
   0.22   2.3860e-001   3.6400e-004        0.8874     0.1243   1.5961e-001  
   0.25   2.3170e-001   3.3550e-004        0.9892     0.1298   1.6977e-001  
   0.27   2.2490e-001   3.1150e-004        1.0962     0.1352   1.7993e-001  
   0.30   2.1840e-001   2.9100e-004        1.2031     0.1406   1.9027e-001  
   0.32   2.1220e-001   2.7320e-004        1.3190     0.1461   2.0079e-001  
   0.35   2.0630e-001   2.5770e-004        1.4348     0.1516   2.1139e-001  
   0.37   2.0080e-001   2.4400e-004        1.5507     0.1571   2.2218e-001  
   0.40   1.9570e-001   2.3170e-004        1.6755     0.1627   2.3314e-001  
   0.45   1.8630e-001   2.1090e-004        1.9250     0.1758   2.5569e-001  
   0.50   1.7800e-001   1.9380e-004        2.1924     0.1891   2.7895e-001  
   0.55   1.7050e-001   1.7940e-004        2.4775     0.2027   3.0292e-001  
   0.60   1.6380e-001   1.6720e-004        2.7716     0.2166   3.2769e-001  
   0.64   1.5770e-001   1.5660e-004        3.0746     0.2306   3.5318e-001  
   0.69   1.5220e-001   1.4740e-004        3.3866     0.2449   3.7947e-001  
   0.79   1.4240e-001   1.3210e-004        4.0550     0.2820   4.3410e-001  
   0.89   1.3390e-001   1.1990e-004        4.7679     0.3193   4.9150e-001  
   0.99   1.2660e-001   1.0990e-004        5.5165     0.3571   5.5165e-001  
   1.09   1.2080e-001   1.0150e-004        6.3097     0.3954   6.1430e-001  
   1.19   1.1510e-001   9.4440e-005        7.1474     0.4342   6.7927e-001  
   1.29   1.1020e-001   8.8330e-005        8.0208     0.4737   7.4665e-001  
   1.39   1.0570e-001   8.3010e-005        8.9298     0.5139   8.1634e-001  
   1.49   1.0160e-001   7.8340e-005        9.8834     0.5547   8.8835e-001  
   1.59   9.7930e-002   7.4200e-005       10.8637     0.5962   9.6250e-001  
   1.69   9.4520e-002   7.0510e-005       11.8886     0.6384   1.0427e+000  
   1.79   9.1380e-002   6.7180e-005       12.9491     0.6813   1.1140e+000  
   1.98   8.5770e-002   6.1450e-005       15.1771     0.7999   1.2833e+000  
   2.23   7.9790e-002   5.5600e-005       18.1627     0.9625   1.4972e+000  
   2.48   7.4710e-002   5.0830e-005       21.3621     1.1318   1.7289e+000  
   2.73   7.0330e-002   4.6860e-005       24.7664     1.2922   1.9696e+000  
   2.98   6.6510e-002   4.3500e-005       28.3758     1.4527   2.2191e+000  
   3.22   6.3140e-002   4.0610e-005       32.1901     1.6220   2.4864e+000  
   3.47   6.0140e-002   3.8110e-005       36.2005     1.7913   2.7627e+000  
   3.72   5.7450e-002   3.5910e-005       40.4070     1.9606   3.0479e+000  
   3.97   5.5030e-002   3.3970e-005       44.8006     2.1389   3.3509e+000  
   4.46   5.0820e-002   3.0680e-005       54.1493     2.6647   3.9748e+000  
   4.96   4.7290e-002   2.8010e-005       64.2466     3.1727   4.6521e+000  
   5.46   4.4270e-002   2.5780e-005       75.0569     3.6896   5.3650e+000  
   5.95   4.1670e-002   2.3910e-005       86.5801     4.1976   6.1225e+000  
   6.45   3.9390e-002   2.2300e-005       98.8074     4.7144   6.9157e+000  
   6.94   3.7370e-002   2.0900e-005      111.7119     5.2492   7.7445e+000  
   7.94   3.3970e-002   1.8600e-005      139.5084     6.8979   9.5269e+000  
   8.93   3.1200e-002   1.6780e-005      169.9429     8.4931   1.1461e+001  
   9.92   2.8900e-002   1.5300e-005      202.9441    10.0795   1.3528e+001  
  10.91   2.6950e-002   1.4070e-005      238.4584    11.6747   1.5748e+001  
  11.91   2.5280e-002   1.3030e-005      276.4413    13.2878   1.8091e+001  
  12.90   2.3820e-002   1.2140e-005      316.8483    14.9365   2.0578e+001  
  13.89   2.2540e-002   1.1370e-005      359.6438    16.6120   2.3198e+001  
  14.88   2.1410e-002   1.0700e-005      404.7741    18.3231   2.5943e+001  
  15.87   2.0400e-002   1.0110e-005      452.2305    20.0698   2.8812e+001  
  16.87   1.9490e-002   9.5780e-006      501.9684    21.8611   3.1816e+001  
  17.86   1.8670e-002   9.1050e-006      553.9521    23.6881   3.4935e+001  
  19.84   1.7240e-002   8.2920e-006      664.5500    29.5522   4.1539e+001  
  22.32   1.5770e-002   7.4680e-006      814.9846    37.8671   5.0460e+001  
  24.80   1.4560e-002   6.8000e-006      980.3200    45.9146   6.0103e+001  
  27.28   1.3540e-002   6.2460e-006     1158.5599    53.9176   7.0432e+001  
  29.76   1.2670e-002   5.7790e-006     1345.7120    61.9562   8.1438e+001  
  32.24   1.1920e-002   5.3800e-006     1550.6880    70.0929   9.3113e+001  
  34.72   1.1270e-002   5.0350e-006     1764.5760    78.3543   1.0542e+002  
  37.20   1.0690e-002   4.7340e-006     1987.3760    86.7672   1.1836e+002  
